State,BS Zeit,MS Zeit,DA Zeit
AN1,7,6,2
AN2,6,3.333333333,1.666666667
AN3,20.5,1.333333333,0.166666667
AN4,8,4,6
AN5,9,2.333333333,2.666666667
AN6,10,4.333333333,1.666666667
AN7,13,4,3
AN8,6,5,3
AN9,5.5,3.333333333,0.666666667
AN10,6,7.666666667,0.333333333
AN11,10,2.666666667,3.333333333
AN12,9,4.666666667,3.333333333
AN13,8,3.333333333,2.666666667
AN14,7,12.83333333,0.166666667
AN15,9,2,3
AN16,12,2.666666667,1.333333333
AN17,9,7.833333333,0.166666667
AN18,11,2,4
AN19,8,6.666666667,3.333333333
AN20,9,4.666666667,2.333333333
AN21,10,3.333333333,1.666666667
AN22,14,5.5,2.5
AN23,3,4.5,0.5
AN24,8,5.333333333,4.666666667
AN25,9,6,3
AN26,9,3.333333333,1.666666667
AN27,8,7.666666667,2.333333333
AN28,13,5.666666667,0.333333333
AN29,6,9,5
AN30,35,-9,10
AN31,8,4,1
AN32,8,2.333333333,1.666666667
AN33,8,3.666666667,2.333333333
AN34,9,7.333333333,6.666666667
AN35,7,5,8
AN36,8,11,3
AN37,8,9,5
AN38,14,3,2
AN39,10,2,2
AN40,13,6.166666667,0.833333333
AN41,5,5.333333333,0.666666667
AN42,6,8,6
AN43,31,4.333333333,6.666666667
AN44,14,3.5,2.5
AN45,4,4,2
AN46,9,3,2
AN47,24,6,2
AN48,10,3,3
AN49,8,7.333333333,0.666666667
AN50,57,2.666666667,0.333333333
AN51,8,4,2
AN52,6,2.166666667,1.833333333
AN53,10,4,6
AN54,13,2.5,2.5
AN55,8,3.166666667,1.833333333
AN56,6,4.666666667,2.333333333
AN57,6,5.833333333,2.166666667
AN58,11,1.666666667,1.333333333
AN59,9,3.666666667,1.333333333
AN60,11,4.666666667,3.333333333
AN61,8,4,4
AN62,8,5,2
AN63,7,4.666666667,3.333333333
AN64,7,2.833333333,2.166666667
AN65,12,3.833333333,4.166666667
AN66,11,3.333333333,1.666666667
AN67,0,5.666666667,0.333333333
AN68,11,4,1
AN69,8,2.5,1.5
AN70,6,4.333333333,1.666666667
AN71,14,0.833333333,3.166666667
AN72,6,4,2
AN73,6,2.333333333,1.666666667
AN74,7,5,2
AN75,7,5,2
AN76,8,4.5,1.5
AN77,9,7,5
AN78,6,3.333333333,0.666666667
AN79,8,2,3
AN80,10,6,6
AN81,16,4.333333333,1.666666667
AN82,14,6.666666667,1.333333333
AN83,22,5,1
AN84,8,4.5,1.5
AN85,9,11.5,1.5
AN86,25,10.83333333,4.166666667
AN87,6,4,2
AN88,8,5.333333333,0.666666667
AN89,11,1.666666667,3.333333333
AN90,6,1.333333333,2.666666667
AN91,8,2,3
AN92,15,1,1
AN93,9,3.5,3.5
AN94,8,3.333333333,1.666666667
AN95,7,4,2
AN96,0,2,8
AN97,12,4.666666667,1.333333333
AN98,6,4,3
AN99,14,11.33333333,0.666666667
AN100,8,8.333333333,2.666666667
AN101,16,0,4
AN102,10,6,2
AN103,9,4.666666667,0.333333333
AN104,6,5,2
AN105,7,4.666666667,0.333333333
AN106,8,5.666666667,0.333333333
AN107,8.5,4.5,2
AN108,8,2.666666667,1.333333333
AN109,10,7.333333333,2.666666667
AN110,13,3.333333333,1.666666667
AN111,14,2,4
AN112,11,4,3
AN113,13,4.5,2.5
AN114,12,4,2
AN115,12,2.333333333,5.666666667
AN116,6,4.5,1.5
AN117,7,2.833333333,3.166666667
AN118,15,1,2
AN119,11,2.5,2.5
AN120,9,5,1
AN121,11,4,1
AN122,7,3,2
AN123,14,3.333333333,1.666666667
AN124,9,3,2
AN125,9,2.333333333,2.666666667
AN126,1,2.666666667,1.333333333
AN127,10,2.666666667,2.333333333
AN128,8,8.333333333,1.666666667
AN129,6,5.333333333,1.666666667
AN130,9,4,2
AN131,18,3.5,0.5
AN132,14,0,5
AN133,11,4.666666667,4.333333333
AN134,16,2,2
AN135,6,4.166666667,1.833333333
AN136,9,5,2
AN137,16,1,3
AN138,6,1.166666667,2.833333333
AN139,13,2.833333333,2.166666667
AN140,7,1,6
AN141,8,4,2
AN142,7,2.666666667,2.333333333
AN143,7,3.333333333,2.666666667
AN144,12,4,4
AN145,7,3.333333333,2.666666667
AN146,8,4,2
AN147,7,5.833333333,0.166666667
AN148,7,6,3
AN149,12,2.666666667,1.333333333
AN150,13,9.333333333,4.666666667
AN151,8,3.333333333,2.666666667
AN152,9,7,5
AN153,8,5,3
AN154,7,2,2
AN155,8,4.333333333,1.666666667
AN156,8,4,2
AN157,0,5.333333333,2.666666667
AN158,0,6.333333333,3.666666667
AN159,9,8,4
AN160,14,4.833333333,1.166666667
AN161,9,6.5,0.5
AN162,7,5,2
AN163,9,8.833333333,2.166666667
AN164,10,3,3
AN165,8,2,2
AN166,6,3,2
AN167,7,4.5,1.5
AN168,10,3,3
AN169,18,5.666666667,2.333333333
AN170,12,9,3
AN171,13,2,3
AN172,10,2,3
AN173,7,3,2
AN174,14,3,3
AN175,8,3.666666667,1.333333333
AN176,14,1,3
AN177,15,0,3
AN178,7,3,2
AN179,8,4,6
AN180,6,4.333333333,1.666666667
AN181,8,5,2
